"Intake24 food code","English description","Local description","Source locale","FCT","FCT record ID","Sub group code","Energy (kcal) (kcal)","Energy (kJ) (kJ)","Water (g)","Total nitrogen (g)","Nitrogen conversion factor (g)","Protein (g)","Carbohydrate (g)","Englyst fibre (g)","Alcohol (g)","Starch (g)","Total sugars (g)","Non-milk extrinsic sugars (g)","Intrinsic and milk sugars (g)","Glucose (g)","Fructose (g)","Sucrose (g)","Maltose (g)","Lactose (g)","Other sugars (UK) (g)","Fat (g)","Satd FA (g)","Cis-Mon FA (g)","Cis-n3 FA (g)","Cis-n6 FA (g)","Trans FA (g)","Cholesterol (g)","Retinol (g)","Total carotene (g)","Alpha-carotene (g)","Beta-carotene (g)","Beta cryptoxanthin (g)","Vitamin A (g)","Vitamin D (g)","Thiamin (g)","Riboflavin (g)","Niacin (g)","Tryptophan/60 (g)","Niacin equivalent (g)","Vitamin C (g)","Vitamin E (g)","Vitamin B6 (g)","Vitamin B12 (g)","Folate (g)","Pantothenic acid (g)","Biotin (g)","Sodium (g)","Potassium (g)","Calcium (g)","Magnesium (g)","Phosphorus (g)","Iron (g)","Haem iron (g)","Non-haem iron (g)","Copper (g)","Zinc (g)","Chloride (g)","Iodine (g)","Manganese (g)","Selenium (g)","AOAC (g)","FS Table sugar (g)","FS Other Added Sugar (g)","FS Honey (g)","FS Fruit Juice (g)","FS Dried Fruit (g)","FS Fruit Puree (g)","FS Stewed Fruit (g)","FS Vegetable Puree (g)","Total FS (g)","Fruit (g)","Dried fruit (g)","Fruit juice (g)","Smoothie fruit (g)","Tomatoes (g)","Tomato puree (g)","Brassicaceae (g)","Yellow Red Green (g)","Beans (g)","Nuts (g)","Other Vegetables (g)","Beef (g)","Lamb (g)","Pork (g)","Processed Red Meat (g)","Other Red Meat (g)","Burgers (g)","Sausages (g)","Offal (g)","Poultry (g)","Processed Poultry (g)","Game Birds (g)","White Fish (g)","Oily Fish (g)","Canned Tuna (g)","Shellfish (g)","Cottage Cheese (g)","Cheddar Cheese (g)","Other Cheese (g)"
"197UPFRL","7 Up free / light","7 Up free / light","UK_V2_2022","UK_NDB_1","8445","58B","2.0","6.0","99.5","0.0","6.25","0.0","0.4","0.0","0.0","0.0","0.4","0.4","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","94.0","0.0","94.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","1.0","0.0","0.0","4.0","27.0","7.0","7.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ABSAS","Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted","Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted","UK_V2_2022","UK_NDB_1","11581","57A","9.0","39.0","96.7","0.0","6.25","0.0","2.5","0.0","0.0","0.0","2.5","2.5","0.0","1.0","0.9","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","0.0","38.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","6.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","0.0","0.0","0.2","0.0","0.0","0.0","0.0","2.5","0.0","0.0","3.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ACCA","Ackee, canned","Ackee, canned","UK_V2_2022","UK_NDB_1","1651","40D","151.0","625.0","76.7","0.5","6.25","2.9","0.8","1.7","0.0","0.0","0.8","0.0","0.8","0.1","0.0","0.7","0.0","0.0","0.0","15.2","3.2","9.45","0.0","1.74","0.0","0.0","0.0","16.0","4.0","14.0","0.0","3.0","0.0","0.03","0.07","0.6","0.5","1.1","30.0","2.5","0.1","0.0","41.0","1.1","4.0","240.0","270.0","35.0","40.0","47.0","0.7","0.0","0.7","0.27","0.6","340.0","0.0","0.2","1.0","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ADBE","Aduki beans","Aduki beans","UK_V2_2022","UK_NDB_1","8826","37I","123.0","525.0","59.4","1.5","6.25","9.3","22.5","5.5","0.0","20.8","1.7","0.0","1.7","0.0","0.0","0.3","0.1","0.0","1.2","0.2","0.06","0.01","0.04","0.05","0.0","0.0","0.0","6.0","0.0","6.0","0.0","1.0","0.0","0.14","0.08","0.9","1.5","2.4","0.0","0.1","0.1","0.0","210.0","0.3","7.0","2.0","570.0","39.0","60.0","180.0","1.9","0.0","1.9","0.51","2.3","1.0","1.0","0.8","1.0","7.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ADD3CA","Adcal D3, calcium (600mg) with vitamin D (10ug), tablet (including effervescent)","Adcal D3, calcium (600mg) with vitamin D (10ug), including effervescent","UK_V2_2022","UK_NDB_1","10097","54F","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19AMACPO","Amino acid powder, scoop (5g)","Amino acid powder, scoop (5g)","UK_V2_2022","UK_NDB_1","3401","54K","20.0","85.0","0.0","0.8","6.25","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ANFAEG","Animal fat (e.g. beef dripping, chicken fat)","Animal fat (e.g. beef dripping, chicken fat)","UK_V2_2022","UK_NDB_1","858","20C","891.0","3663.0","1.0","0.0","6.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","99.0","40.6","42.99","0.51","8.88","0.0","93.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","3.0","0.1","0.0","0.1","0.02","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APCH","Apple chutney","Apple chutney","UK_V2_2022","UK_NDB_1","2417","50R","190.0","810.0","47.7","0.1","6.25","0.9","49.2","1.3","0.0","0.1","49.1","45.4","3.7","4.3","5.7","38.4","0.0","0.0","0.7","0.2","0.0","0.0","0.0","0.14","0.0","0.0","0.0","11.0","0.0","7.0","7.0","2.0","0.0","0.05","0.01","0.3","0.2","0.5","5.0","0.2","0.1","0.0","4.0","0.0","1.0","166.0","186.0","20.0","9.0","23.0","0.8","0.0","0.8","0.1","0.2","263.0","1.0","0.11","1.0","1.7","26.4","12.4","0.0","0.0","2.3","0.0","7.3","0.0","38.8","28.86","5.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APELJU","Apple & elderflower juice (e.g. Copella), 100% juice","Apple & elderflower juice (e.g. Copella), 100% juice","UK_V2_2022","UK_NDB_1","11537","45R","40.0","172.0","87.8","0.0","6.25","0.1","10.4","0.0","0.0","0.0","10.4","10.4","0.0","2.6","6.2","1.6","0.0","0.0","0.0","0.1","0.02","0.01","0.01","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","0.1","0.0","0.1","63.0","0.0","0.0","0.0","4.0","0.0","1.0","2.0","109.0","7.0","5.0","6.0","0.1","0.0","0.1","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","9.8","0.0","0.0","0.0","0.0","10.3","0.0","99.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APGRMI","Toddler/ growing up milk (2-3 years), e.g. Aptamil 4, Cow & Gate 4","Toddler/ growing up milk (2-3 years), e.g. Aptamil 4, Cow & Gate 4","UK_V2_2022","UK_NDB_1","11050","13A","48.0","203.0","85.6","0.2","6.38","1.3","6.9","0.7","0.0","0.8","6.1","0.6","5.5","0.0","0.3","0.0","0.3","5.5","0.0","1.9","0.4","1.1","0.04","0.26","0.0","0.0","62.0","0.0","0.0","0.0","0.0","62.0","2.9","0.04","0.23","0.2","0.0","0.2","15.0","1.0","0.1","0.4","9.0","0.6","1.0","20.0","117.0","120.0","10.0","93.0","1.2","0.0","1.2","0.06","0.9","39.0","20.0","0.01","2.0","0.9","0.0","6.1","0.0","0.0","0.0","0.0","0.0","0.0","6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APJU00","Apple juice drink, ready to drink, no added sugar","Apple juice drink, ready to drink, no added sugar","UK_V2_2022","UK_NDB_1","3896","58C","4.0","16.0","99.0","0.0","6.25","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.3","0.4","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.0","0.1","0.0","0.0","14.0","0.0","0.0","0.0","2.0","0.1","0.0","0.0","48.0","5.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APJUDR","Apple juice drink, ready to drink","Apple juice drink, ready to drink","UK_V2_2022","UK_NDB_1","8691","57C","31.0","132.0","88.9","0.0","6.25","0.1","8.1","0.0","0.0","0.6","7.5","7.5","0.0","2.5","3.7","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.1","20.4","0.0","0.0","0.0","2.0","0.0","0.0","0.0","42.0","6.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.6","0.0","0.0","2.8","0.0","0.0","0.0","0.0","7.4","0.0","0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APPU","Apple puree","Apple puree","UK_V2_2022","UK_NDB_1","10697","40A","45.0","192.0","85.3","0.1","6.94","0.4","11.3","1.6","0.0","0.0","11.3","5.7","5.7","1.6","6.0","3.7","0.0","0.0","0.0","0.1","0.02","0.01","0.01","0.04","0.0","0.0","0.0","17.0","0.0","10.0","14.0","3.0","0.0","0.02","0.02","0.1","0.1","0.2","3.0","0.3","0.1","0.0","0.0","0.0","1.0","3.0","101.0","3.0","3.0","8.0","0.1","0.0","0.1","0.02","0.1","0.0","0.0","0.1","0.0","1.7","0.0","0.0","0.0","0.0","0.0","11.3","0.0","0.0","11.3","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APPU00","Apricot puree","Apricot puree","UK_V2_2022","UK_NDB_1","10693","40R","31.0","134.0","87.2","0.1","6.25","0.9","7.2","1.7","0.0","0.0","7.2","3.6","3.6","1.6","0.9","4.6","0.0","0.0","0.0","0.1","0.05","0.01","0.0","0.01","0.0","0.0","0.0","405.0","2.0","405.0","0.0","68.0","0.0","0.04","0.05","0.5","0.1","0.6","6.0","0.5","0.1","0.0","5.0","0.2","1.0","2.0","270.0","15.0","11.0","20.0","0.5","0.0","0.5","0.06","0.1","3.0","1.0","0.1","1.0","1.4","0.0","0.0","0.0","0.0","0.0","7.2","0.0","0.0","7.2","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APSLCA","Apple slices, canned","Apple slices, canned","UK_V2_2022","UK_NDB_1","10951","40D","40.0","169.0","87.3","0.0","6.25","0.2","9.7","1.3","0.0","0.0","9.7","0.0","9.7","2.1","5.9","1.7","0.0","0.0","0.0","0.3","0.06","0.03","0.03","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.03","0.2","0.1","0.3","12.5","0.1","0.1","0.0","0.0","0.1","1.0","1.0","87.0","3.0","3.0","7.0","0.1","0.0","0.1","0.03","0.0","73.0","4.0","0.02","0.0","1.7","0.0","0.0","0.0","0.0","0.0","0.0","9.7","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APST","Apricots, stewed","Apricots, stewed","UK_V2_2022","UK_NDB_1","1971","40R","77.0","328.0","65.0","0.3","6.25","2.0","17.8","3.2","0.0","0.0","17.8","13.3","4.5","8.8","4.4","4.7","0.0","0.0","0.0","0.3","0.16","0.04","0.01","0.03","0.0","0.0","0.0","265.0","3.0","260.0","0.0","44.0","0.0","0.0","0.06","0.9","0.2","1.2","0.0","1.4","0.1","0.0","1.0","0.2","2.0","22.0","770.0","37.0","26.0","49.0","1.7","0.0","1.7","0.16","0.3","14.0","3.0","0.2","3.0","2.7","0.0","0.0","0.0","0.0","0.0","0.0","17.8","0.0","0.0","0.0","36.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ASRA","Asparagus, raw","Asparagus, raw","UK_V2_2022","UK_NDB_1","10422","36B","25.0","104.0","91.4","0.5","6.25","2.9","2.0","1.7","0.0","0.1","1.9","0.0","1.9","0.7","1.1","0.1","0.0","0.0","0.0","0.6","0.1","0.15","0.01","0.1","0.0","0.0","0.0","315.0","10.0","310.0","0.0","53.0","0.0","0.16","0.06","1.0","0.5","1.5","12.0","1.2","0.1","0.0","175.0","0.2","0.0","1.0","260.0","27.0","13.0","72.0","0.7","0.0","0.7","0.08","0.7","60.0","0.0","0.2","1.0","3.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19AUPOCU","Aubergine & potato curry (e.g. brinjal aloo)","Aubergine & potato curry (e.g. brinjal aloo)","UK_V2_2022","UK_NDB_1","5559","37M","97.0","403.0","82.8","0.2","6.89","1.0","4.8","1.4","0.0","1.5","3.4","0.0","3.4","1.4","1.2","0.4","0.0","0.0","0.3","8.4","0.59","4.64","0.55","2.12","0.0","0.0","0.0","209.0","17.0","192.0","17.0","35.0","0.0","0.06","0.02","0.5","0.2","0.6","4.2","2.3","0.1","0.0","11.0","0.1","1.0","280.0","195.0","15.0","11.0","21.0","0.5","0.0","0.5","0.05","0.2","468.0","2.0","0.11","0.0","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.6","0.0","0.0","0.0","0.0","27.47","0.0","0.0","0.0","0.0","0.0","51.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19AUPU","Aubergine puree","Aubergine puree","UK_V2_2022","UK_NDB_1","11395","37M","15.0","64.0","92.9","0.1","6.06","0.9","2.2","2.0","0.0","0.2","2.0","0.0","2.0","1.1","0.8","0.1","0.0","0.0","0.0","0.4","0.09","0.04","0.01","0.18","0.0","0.0","0.0","70.0","60.0","40.0","0.0","12.0","0.0","0.02","0.01","0.1","0.2","0.3","2.2","0.0","0.1","0.0","18.0","0.1","0.0","2.0","210.0","10.0","11.0","16.0","0.3","0.0","0.3","0.01","0.2","14.0","1.0","0.1","1.0","1.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19AURA","Aubergine, raw","Aubergine, raw","UK_V2_2022","UK_NDB_1","1658","36B","15.0","64.0","92.9","0.1","6.25","0.9","2.2","2.0","0.0","0.2","2.0","0.0","2.0","1.1","0.8","0.1","0.0","0.0","0.0","0.4","0.09","0.04","0.01","0.18","0.0","0.0","0.0","70.0","60.0","40.0","0.0","12.0","0.0","0.02","0.01","0.1","0.2","0.3","4.0","0.0","0.1","0.0","18.0","0.1","0.0","2.0","210.0","10.0","11.0","16.0","0.3","0.0","0.3","0.01","0.2","14.0","1.0","0.1","1.0","1.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19AVPU","Avocado puree","Avocado puree","UK_V2_2022","UK_NDB_1","11363","40R","190.0","784.0","72.5","0.3","6.25","1.9","1.9","3.4","0.0","0.0","1.9","0.0","1.9","0.3","0.1","0.1","0.0","0.0","1.4","19.5","4.11","12.11","0.03","2.12","0.0","0.0","0.0","16.0","4.0","14.0","0.0","3.0","0.0","0.1","0.18","1.1","0.3","1.4","6.0","3.2","0.4","0.0","11.0","1.1","4.0","6.0","450.0","11.0","25.0","39.0","0.4","0.0","0.4","0.19","0.4","6.0","2.0","0.2","0.0","3.1","0.0","0.0","0.0","0.0","0.0","1.4","0.0","0.0","1.4","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19B1250","Vitamin B12 (50ug), capsule","Vitamin B12 (50ug)","UK_V2_2022","UK_NDB_1","10250","54M","0.0","0.0","0.0","0.0","6.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19B12500","Vitamin B12 (500ug), tablet","Vitamin B12 (500ug)","UK_V2_2022","UK_NDB_1","10846","54M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19B2100","Vitamin B2 (100mg), capsule","Vitamin B2 (100mg)","UK_V2_2022","UK_NDB_1","4335","54M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19B3100","Vitamin B3 (niacin), 100mg, tablet","Vitamin B3 (niacin), 100mg","UK_V2_2022","UK_NDB_1","11172","54M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19BA","Batter","Batter","UK_V2_2022","UK_NDB_1","2607","1R","184.0","783.0","56.7","1.2","6.1","7.2","32.1","1.3","0.0","30.0","2.1","0.0","2.1","0.0","0.0","0.2","0.0","1.9","0.0","3.9","1.69","1.12","0.03","0.37","0.03","71.0","37.0","8.0","0.0","8.0","0.0","39.0","0.59","0.1","0.2","0.7","1.7","2.3","0.9","0.5","0.1","0.8","11.0","0.5","5.0","231.0","159.0","95.0","16.0","117.0","1.0","0.0","1.0","0.07","0.6","405.0","22.0","0.27","6.0","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19BAANEG","Bacon and egg in a bun/muffin (e.g. bacon and egg McMuffin)","Bacon and egg in a bun/muffin (e.g. bacon and egg McMuffin)","UK_V2_2022","UK_NDB_1","1315","32A","250.0","1050.0","52.2","2.2","6.25","13.8","22.7","0.9","0.0","19.7","2.9","0.0","2.9","2.2","0.0","0.6","0.0","0.0","0.0","12.3","4.25","5.48","0.17","1.65","0.13","100.0","40.0","20.0","0.0","20.0","0.0","43.0","0.36","0.17","0.29","2.9","2.3","5.3","0.0","0.2","0.0","0.4","21.0","3.9","9.0","490.0","192.0","129.0","24.0","207.0","1.9","0.2","1.7","0.39","1.7","620.0","22.0","0.21","11.0","1.8","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19BABIEG","Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)","Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)","UK_V2_2022","UK_NDB_1","10329","52R","419.0","1771.0","2.5","1.3","6.25","8.1","71.1","4.1","0.0","52.0","19.1","17.6","1.5","4.3","10.5","3.6","0.1","0.5","0.0","13.7","1.97","3.35","0.39","7.39","0.09","1.0","3.0","2.0","0.0","2.0","0.0","4.0","0.0","1.2","0.07","2.5","1.8","4.3","14.7","3.9","0.2","0.0","10.0","0.5","4.0","167.0","406.0","65.0","47.0","161.0","2.1","0.0","2.1","0.19","1.0","93.0","2.0","1.26","3.0","4.8","0.0","0.0","0.0","17.2","0.8","0.0","0.0","0.0","17.2","0.0","1.15","29.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
