"Intake24 food code","English description","Local description","Source locale","FCT","FCT record ID","Sub group code","Energy (kcal) (kcal)","Energy (kJ) (kJ)","Water (g)","Total nitrogen (g)","Nitrogen conversion factor (g)","Protein (g)","Carbohydrate (g)","Englyst fibre (g)","Alcohol (g)","Starch (g)","Total sugars (g)","Non-milk extrinsic sugars (g)","Intrinsic and milk sugars (g)","Glucose (g)","Fructose (g)","Sucrose (g)","Maltose (g)","Lactose (g)","Other sugars (UK) (g)","Fat (g)","Satd FA (g)","Cis-Mon FA (g)","Cis-n3 FA (g)","Cis-n6 FA (g)","Trans FA (g)","Cholesterol (g)","Retinol (g)","Total carotene (g)","Alpha-carotene (g)","Beta-carotene (g)","Beta cryptoxanthin (g)","Vitamin A (g)","Vitamin D (g)","Thiamin (g)","Riboflavin (g)","Niacin (g)","Tryptophan/60 (g)","Niacin equivalent (g)","Vitamin C (g)","Vitamin E (g)","Vitamin B6 (g)","Vitamin B12 (g)","Folate (g)","Pantothenic acid (g)","Biotin (g)","Sodium (g)","Potassium (g)","Calcium (g)","Magnesium (g)","Phosphorus (g)","Iron (g)","Haem iron (g)","Non-haem iron (g)","Copper (g)","Zinc (g)","Chloride (g)","Iodine (g)","Manganese (g)","Selenium (g)","AOAC (g)","FS Table sugar (g)","FS Other Added Sugar (g)","FS Honey (g)","FS Fruit Juice (g)","FS Dried Fruit (g)","FS Fruit Puree (g)","FS Stewed Fruit (g)","FS Vegetable Puree (g)","Total FS (g)","Fruit (g)","Dried fruit (g)","Fruit juice (g)","Smoothie fruit (g)","Tomatoes (g)","Tomato puree (g)","Brassicaceae (g)","Yellow Red Green (g)","Beans (g)","Nuts (g)","Other Vegetables (g)","Beef (g)","Lamb (g)","Pork (g)","Processed Red Meat (g)","Other Red Meat (g)","Burgers (g)","Sausages (g)","Offal (g)","Poultry (g)","Processed Poultry (g)","Game Birds (g)","White Fish (g)","Oily Fish (g)","Canned Tuna (g)","Shellfish (g)","Cottage Cheese (g)","Cheddar Cheese (g)","Other Cheese (g)"
"ONNS","Onion, raw","Onion, raw","UK_V2_2022","UK_NDB_1","1785","36B","29.0","123.0","79.9","0.2","6.25","1.2","6.2","1.1","0.0","0.0","6.2","0.0","6.2","2.3","1.8","2.1","0.0","0.0","0.0","0.1","0.02","0.02","0.0","0.05","0.0","0.0","0.0","10.0","0.0","10.0","0.0","2.0","0.0","0.11","0.02","0.3","0.3","0.5","3.1","0.3","0.1","0.0","11.0","0.1","1.0","3.0","138.0","30.0","8.0","23.0","0.3","0.0","0.3","0.04","0.1","54.0","2.0","0.1","0.0","2.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ONRI","Onion rings (in breadcrumbs/batter), fried","Onion rings (in breadcrumbs/batter), fried","UK_V2_2022","UK_NDB_1","1793","37L","255.0","1068.0","45.8","0.9","8.83","5.5","24.9","1.5","0.0","19.5","5.4","0.0","5.4","1.5","1.2","1.5","0.0","1.2","0.0","15.6","1.97","8.17","0.9","3.48","0.02","46.0","24.0","12.0","0.0","12.0","0.0","26.0","0.38","0.14","0.14","0.7","1.3","1.8","2.0","3.4","0.1","0.5","14.0","0.4","4.0","152.0","193.0","81.0","15.0","91.0","0.9","0.0","0.9","0.07","0.5","298.0","16.0","0.24","4.0","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ONSB","Onions, baked/roasted","Onions, baked/roasted","UK_V2_2022","UK_NDB_1","9293","37M","48.0","205.0","69.0","0.6","6.25","3.5","7.7","3.9","0.0","0.0","7.7","0.0","7.7","2.9","2.2","2.6","0.0","0.0","0.0","0.6","0.11","0.1","0.01","0.25","0.0","0.0","0.0","28.0","0.0","28.0","0.0","5.0","0.0","0.24","0.0","1.4","0.8","2.2","8.0","0.9","0.3","0.0","29.0","0.2","2.0","8.0","450.0","70.0","11.0","85.0","0.8","0.0","0.8","0.14","0.6","70.0","9.0","0.3","3.0","6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ONSF","Onions, fried","Onions, fried","UK_V2_2022","UK_NDB_1","1789","37M","69.0","287.0","87.9","0.1","6.25","0.7","5.1","1.2","0.0","0.0","5.1","0.0","5.1","1.5","1.1","1.3","0.0","0.0","1.1","5.3","0.38","2.9","0.34","1.35","0.0","0.0","0.0","5.0","0.0","5.0","0.0","1.0","0.0","0.03","0.0","0.3","0.2","0.5","3.6","1.4","0.1","0.0","8.0","0.1","1.0","2.0","100.0","24.0","7.0","22.0","0.3","0.0","0.3","0.05","0.2","47.0","2.0","0.1","0.0","2.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","95.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ONSS","Onions, cooked","Onions, cooked","UK_V2_2022","UK_NDB_1","1786","37M","25.0","108.0","92.5","0.1","6.25","0.7","5.4","1.3","0.0","0.0","5.4","0.0","5.4","1.6","1.2","1.4","0.0","0.0","1.2","0.3","0.05","0.04","0.0","0.12","0.0","0.0","0.0","5.0","0.0","5.0","0.0","1.0","0.0","0.03","0.0","0.3","0.2","0.5","3.8","0.3","0.1","0.0","8.0","0.1","1.0","2.0","105.0","25.0","7.0","23.0","0.3","0.0","0.3","0.05","0.2","49.0","2.0","0.11","0.0","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OPFS","Baked potato / jacket potato, skin eaten","Baked potato / jacket potato, skin eaten","UK_V2_2022","UK_NDB_1","11117","39B","97.0","413.0","71.0","0.4","6.25","2.5","22.6","1.4","0.0","21.2","1.4","0.0","1.4","0.6","0.5","0.3","0.0","0.0","0.0","0.2","0.08","0.05","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.02","0.9","0.4","1.3","6.4","0.1","0.1","0.0","18.0","0.5","0.0","2.0","600.0","11.0","27.0","45.0","0.6","0.0","0.6","0.09","0.4","114.0","2.0","0.18","0.0","2.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OPMM","Mashed potato, with vegetable/sunflower oil spread","Mashed potato, with vegetable/sunflower oil spread","UK_V2_2022","UK_NDB_1","9249","39B","86.0","365.0","77.5","0.3","6.25","1.7","16.8","1.0","0.0","16.0","0.8","0.0","0.8","0.3","0.3","0.2","0.0","0.0","0.0","1.8","0.44","0.81","0.1","0.34","0.01","0.0","31.0","37.0","0.0","37.0","0.0","37.0","0.28","0.2","0.0","0.5","0.5","1.0","8.8","0.6","0.1","0.0","17.0","0.4","0.0","24.0","351.0","6.0","17.0","30.0","0.3","0.0","0.3","0.06","0.2","114.0","2.0","0.11","0.0","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OPSK","Baked potato / jacket potato, skin not eaten","Baked potato / jacket potato, skin not eaten","UK_V2_2022","UK_NDB_1","11119","39B","55.0","234.0","89.5","0.2","6.25","1.4","12.8","0.7","0.0","12.0","0.8","0.0","0.8","0.4","0.2","0.2","0.0","0.0","0.0","0.1","0.02","0.0","0.05","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.11","0.01","0.5","0.2","0.7","4.0","0.0","0.1","0.0","10.0","0.3","0.0","1.0","343.0","7.0","15.0","26.0","0.4","0.0","0.4","0.05","0.2","68.0","1.0","0.09","0.0","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OPTB","Potatoes","Potatoes","UK_V2_2022","UK_NDB_1","1829","39B","74.0","315.0","78.9","0.3","6.25","1.8","17.5","1.0","0.0","16.7","0.8","0.0","0.8","0.3","0.3","0.2","0.0","0.0","0.0","0.1","0.04","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.21","0.0","0.5","0.4","0.9","9.2","0.0","0.1","0.0","18.0","0.4","0.0","1.0","365.0","6.0","18.0","31.0","0.3","0.0","0.3","0.06","0.2","74.0","1.0","0.12","0.0","1.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OPTR","Roast potatoes","Roast potatoes","UK_V2_2022","UK_NDB_1","1841","38D","130.0","546.0","71.1","0.3","7.35","2.0","19.7","1.1","0.0","18.8","0.9","0.0","0.9","0.3","0.3","0.2","0.0","0.0","0.0","5.3","0.39","2.97","0.35","1.29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.24","0.0","0.6","0.4","1.0","10.3","1.1","0.1","0.0","20.0","0.4","0.0","1.0","411.0","7.0","20.0","35.0","0.3","0.0","0.3","0.07","0.2","83.0","1.0","0.13","0.0","1.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
